id;time_start;time_end;act;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;objective
1074;17/02/2005;16/06/2005;func_255;cat_2;cat_19;cat_348;cat_2;cat_01;cat_1;cat_3;0;1;0.33;0.1449412;0.192240218
1077;29/08/2004;23/12/2004;func_112;cat_4;cat_02;cat_141;cat_2;cat_01;cat_4;cat_4;0;1;0.5;0.1633987;0.190379603
1110;5/08/2004;9/01/2006;func_177;cat_2;cat_02;cat_139;cat_2;cat_01;cat_4;cat_2;0.12;1;0.33;0.1669307;0.583675799
727;8/06/2004;2/05/2006;func_163;cat_2;cat_04;cat_196;cat_1;cat_01;cat_4;cat_2;0.16;1;0.33;0.1539765;0.722397689
868;15/01/2005;5/01/2006;func_255;cat_2;cat_05;cat_450;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1437908;0.407659807
204;23/01/2005;12/01/2006;func_155;cat_3;cat_09;cat_199;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1514418;0.407141218
204;19/03/2004;23/01/2005;func_187;cat_3;cat_09;cat_199;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1470588;0.361119944
649;28/12/2003;15/07/2005;func_177;cat_2;cat_08;cat_360;cat_2;cat_01;cat_4;cat_3;0.16;1;0.33;0.1523876;0.624396319
872;10/03/2004;31/10/2005;func_177;cat_2;cat_08;cat_384;cat_2;cat_01;cat_4;cat_4;0.16;1;0.33;0.1585052;0.654276597
552;12/06/2005;14/04/2006;func_155;cat_3;cat_02;cat_141;cat_2;cat_01;cat_4;cat_3;0;0.6;0.33;0.1437908;0.35704627
552;14/04/2006;19/02/2007;func_225;cat_3;cat_04;cat_141;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1372549;0.361119944
470;11/10/2005;11/11/2006;func_225;cat_7;cat_04;cat_196;cat_2;cat_01;cat_4;cat_2;0.08;1;0.33;0.1534438;0.452269174
470;22/03/2005;11/10/2005;func_226;cat_7;cat_04;cat_196;cat_2;cat_01;cat_4;cat_2;0.12;1;0.42;0.1685804;0.257981628
832;15/01/2005;12/06/2006;func_255;cat_2;cat_09;cat_228;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1437908;0.574326474
789;3/07/2004;28/06/2005;func_255;cat_4;cat_04;cat_216;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1468974;0.413012262
599;15/01/2005;5/01/2006;func_255;cat_3;cat_02;cat_092;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1437908;0.407659807
1112;16/04/2005;19/03/2006;func_177;cat_2;cat_19;cat_330;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1814464;0.388618358
225;24/01/2005;5/06/2006;func_229;cat_2;cat_04;cat_213;cat_2;cat_01;cat_4;cat_4;0.04;1;0.33;0.1712941;0.559745438
884;16/11/2003;9/12/2004;func_177;cat_2;cat_02;cat_430;cat_1;cat_01;cat_4;cat_3;0.08;1;0.33;0.1428739;0.444742696
297;3/07/2004;28/06/2005;func_255;cat_4;cat_04;cat_406;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1468974;0.413012262
412;6/03/2005;25/07/2006;func_105;cat_4;cat_04;cat_196;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1559072;0.568947966
1189;19/12/2003;8/12/2004;func_024;cat_4;cat_02;cat_140;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1359098;0.407659807
894;21/08/2004;2/11/2005;func_177;cat_2;cat_05;cat_406;cat_1;cat_01;cat_1;cat_3;0.12;1;0.33;0.162832;0.49755625
820;27/05/2005;5/10/2005;func_155;cat_3;cat_02;cat_134;cat_1;cat_01;cat_1;cat_3;0.08;1;0.33;0.1633987;0.201590195
820;5/10/2005;25/09/2006;func_255;cat_3;cat_02;cat_133;cat_1;cat_01;cat_1;cat_3;0.04;1;0.33;0.1437908;0.407659807
1051;23/05/2004;15/08/2004;func_105;cat_4;cat_04;cat_141;cat_2;cat_01;cat_1;cat_3;0.12;1;0.42;0.1687647;0.170031476
1051;15/08/2004;28/06/2005;func_177;cat_4;cat_04;cat_143;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1388059;0.368345964
823;3/07/2004;25/04/2005;func_177;cat_2;cat_04;cat_163;cat_2;cat_01;cat_1;cat_3;0.12;1;0.33;0.1693176;0.345723403
779;17/10/2004;2/12/2005;func_255;cat_3;cat_02;cat_090;cat_2;cat_01;cat_4;cat_2;0.08;1;0.33;0.1449412;0.468073546
796;25/08/2005;18/12/2005;func_216;cat_2;cat_16;cat_305;cat_2;cat_01;cat_6;cat_4;0;0.8;0.33;0.1764706;0.190379603
640;3/07/2004;10/08/2005;func_255;cat_2;cat_05;cat_417;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1468974;0.459879067
370;10/08/2005;15/01/2007;func_105;cat_2;cat_04;cat_236;cat_1;cat_01;cat_4;cat_4;0.04;1;0.33;0.164951;0.585145829
370;3/07/2004;10/08/2005;func_255;cat_4;cat_04;cat_236;cat_1;cat_01;cat_4;cat_4;0.08;1;0.33;0.1468974;0.459879067
351;27/11/2004;19/10/2005;func_163;cat_2;cat_04;cat_163;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1503268;0.377606821
280;4/04/2004;10/05/2005;func_177;cat_2;cat_10;cat_160;cat_2;cat_01;cat_1;cat_4;0.12;1;0.33;0.1641634;0.457729652
267;29/04/2004;6/05/2005;func_177;cat_2;cat_08;cat_404;cat_2;cat_01;cat_1;cat_4;0.12;1;0.33;0.1613144;0.426592952
66;3/07/2004;21/02/2005;func_255;cat_4;cat_04;cat_406;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.1468974;0.285354345
795;6/03/2005;9/10/2005;func_112;cat_4;cat_02;cat_134;cat_2;cat_01;cat_1;cat_4;0.04;1;0.5;0.2124111;0.271121779
671;3/11/2004;4/09/2005;func_177;cat_2;cat_04;cat_436;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.1754935;0.355276067
579;23/05/2004;21/04/2005;func_105;cat_4;cat_04;cat_041;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1530778;0.384704295
579;21/04/2005;7/08/2006;func_177;cat_4;cat_04;cat_169;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1388059;0.535012631
392;15/02/2005;29/12/2005;func_039;cat_3;cat_02;cat_423;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1345098;0.3685248
392;12/04/2004;15/02/2005;func_155;cat_3;cat_02;cat_423;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1345098;0.359040174
1047;8/02/2007;15/12/2007;func_177;cat_2;cat_04;cat_095;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1405229;0.361119944
1047;12/06/2005;3/11/2005;func_228;cat_2;cat_04;cat_095;cat_2;cat_01;cat_4;cat_3;0.12;1;0.42;0.1813725;0.210940154
1047;3/11/2005;8/02/2007;func_229;cat_2;cat_04;cat_095;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1699346;0.522586794
488;23/07/2005;21/11/2005;func_175;cat_3;cat_02;cat_078;cat_2;cat_01;cat_7;cat_3;0;1;0.33;0.1699346;0.194453277
383;27/11/2004;27/07/2005;func_177;cat_2;cat_23;cat_049;cat_2;cat_01;cat_1;cat_3;0.12;1;0.33;0.1923327;0.2932124
383;27/07/2005;7/06/2006;func_216;cat_2;cat_23;cat_049;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1736052;0.365679499
741;24/01/2005;19/07/2005;func_010;cat_3;cat_02;cat_080;cat_1;cat_01;cat_1;cat_3;0.04;1;0.42;0.1515294;0.235777644
